sl.no,Date and Time,,vehicle_number
,
0,Thu Mar 25 11:30:33 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:30:41 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:30:49 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:30:55 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:31:03 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:31:20 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:31:32 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:31:41 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:32:04 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:32:32 2021,AP09BN7886
,date,
0,Thu Mar 25 11:32:42 2021,mEMH20D2366
,date,
0,Thu Mar 25 11:32:52 2021,HR26DK8337
,date,
0,Thu Mar 25 11:33:27 2021,
,date,
0,Thu Mar 25 11:33:57 2021,HR26DK8337
,date,
0,Thu Mar 25 11:34:13 2021,MH20EJ0364
,date,
0,Thu Mar 25 11:34:57 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:42:35 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:42:52 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:43:02 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:43:12 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:43:27 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:43:36 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:43:46 2021,HH1Z2DE1433
,date,
0,Thu Mar 25 11:43:57 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:44:02 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:44:11 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:44:27 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:44:40 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:44:55 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:45:02 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:45:14 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:45:23 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:45:28 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:46:04 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:46:10 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:46:50 2021,IMH12DE1433
,date,
0,Thu Mar 25 11:47:05 2021,AP09BN7886
,date,
0,Thu Mar 25 11:47:14 2021,
,date,
0,Thu Mar 25 11:47:40 2021,
,date,
0,Thu Mar 25 11:49:13 2021,
,date,
0,Thu Mar 25 11:49:29 2021,MH1ZDE1433
,date,
0,Thu Mar 25 11:51:21 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:51:31 2021,
,date,
0,Thu Mar 25 11:51:48 2021,
,date,
0,Thu Mar 25 11:51:59 2021,
,date,
0,Thu Mar 25 11:52:05 2021,MH1IZDE1433
,date,
0,Thu Mar 25 11:52:10 2021,AP09BN7886
,date,
0,Thu Mar 25 11:52:18 2021,HR26DK8337
,date,
0,Thu Mar 25 11:52:28 2021,MH20EJ0364
,date,
